MaHS,HoTen,Lop,Khoi,NgaySinh,GioiTinh
HS10001,Nguyễn Văn An,10A1,10,15/03/2009,Nam
HS10002,Trần Thị Bích,10A1,10,22/08/2009,Nữ
HS10003,Lê Hoàng Cường,10A1,10,05/11/2009,Nam
HS10004,Phạm Thùy Dung,10A1,10,12/01/2009,Nữ
HS10005,Hoàng Minh Đức,10A1,10,30/06/2009,Nam
HS10006,Võ Thị Mai,10A2,10,14/04/2009,Nữ
HS10007,Đặng Quốc Nam,10A2,10,09/09/2009,Nam
HS10008,Bùi Ngọc Oanh,10A2,10,25/12/2009,Nữ
HS10009,Đỗ Thành Phát,10A2,10,18/02/2009,Nam
HS10010,Ngô Quỳnh Trang,10A2,10,03/07/2009,Nữ
HS11001,Trương Gia Bảo,11A1,11,10/05/2008,Nam
HS11002,Vũ Minh Châu,11A1,11,28/10/2008,Nữ
HS11003,Dương Hải Đăng,11A1,11,17/01/2008,Nam
HS11004,Hồ Mỹ Hạnh,11A1,11,04/09/2008,Nữ
HS11005,Lý Gia Kiệt,11A1,11,21/11/2008,Nam
HS11006,Phan Kim Ngân,11B1,11,19/03/2008,Nữ
HS11007,Đinh Trọng Phúc,11B1,11,08/08/2008,Nam
HS11008,Cao Thảo Quyên,11B1,11,11/12/2008,Nữ
HS11009,Lâm Thanh Tùng,11B1,11,02/06/2008,Nam
HS11010,Tạ Như Ý,11B1,11,23/04/2008,Nữ
HS12001,Nguyễn Quốc Anh,12A1,12,02/02/2007,Nam
HS12002,Lê Phương Bình,12A1,12,16/09/2007,Nữ
HS12003,Trần Tiến Dũng,12A1,12,24/07/2007,Nam
HS12004,Phạm Hương Giang,12A1,12,09/11/2007,Nữ
HS12005,Hoàng Bảo Khánh,12A1,12,13/05/2007,Nam
HS12006,Vũ Mai Linh,12D1,12,07/03/2007,Nữ
HS12007,Đào Tuấn Nghĩa,12D1,12,18/10/2007,Nam
HS12008,Lương Thùy Phương,12D1,12,29/01/2007,Nữ
HS12009,Trịnh Duy Quang,12D1,12,04/12/2007,Nam
HS12010,Mai Cẩm Tú,12D1,12,21/08/2007,Nữ
